,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,1.5191,1.5286,ferates_vs
1,EUR,euro,30/09/2025,1.7769,1.7973,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0182,0.0185,ferates_vs
3,GBP,british pound,30/09/2025,2.0321,2.0575,ferates_vs
4,CHF,swiss franc,30/09/2025,1.901,1.9244,ferates_vs
5,PLN,polish zloty,30/09/2025,0.4153,0.4211,ferates_vs
6,JPY,japanese yen,30/09/2025,0.0102,0.0103,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.0366,0.0369,ferates_vs
8,CAD,canadian dollar,30/09/2025,1.089,1.0997,ferates_vs
9,GEL,georgian lari,30/09/2025,0.5542,0.5702,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0913,0.0919,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.2132,0.2147,ferates_vs
12,DKK,danish krone,30/09/2025,0.2379,0.2407,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.1517,0.1539,ferates_vs
14,SEK,swedish krona,30/09/2025,0.1607,0.1632,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.5022,0.5054,ferates_vs
16,CZK,czech koruna,30/09/2025,0.073,0.074,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0126,0.0127,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.059,0.0597,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.4552,0.4652,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0028,0.0028,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0045,0.0046,ferates_vs
22,LVL,latvian lat,30/09/2025,2.5282,2.5573,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.5146,0.5205,ferates_vs
24,SGD,singapore dollar,30/09/2025,1.1742,1.1861,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.8909,0.9018,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0183,0.0186,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0117,0.0118,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.5651,0.5686,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0017,0.0017,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0011,0.0011,ferates_vs
31,AMD,armenian dram,30/09/2025,0.004,0.004,ferates_vs
