,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,5.3039,5.3474,ferates_vs
1,EUR,euro,30/09/2025,6.204,6.2875,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0634,0.0647,ferates_vs
3,GBP,british pound,30/09/2025,7.095,7.1976,ferates_vs
4,CHF,swiss franc,30/09/2025,6.6374,6.7322,ferates_vs
5,PLN,polish zloty,30/09/2025,1.4502,1.4733,ferates_vs
6,JPY,japanese yen,30/09/2025,0.0355,0.036,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.1279,0.1289,ferates_vs
8,CAD,canadian dollar,30/09/2025,3.8024,3.847,ferates_vs
9,AUD,australian dollar,30/09/2025,3.4698,3.5202,ferates_vs
10,GEL,georgian lari,30/09/2025,1.935,1.9946,ferates_vs
11,MDL,moldovan leu,30/09/2025,0.3189,0.3215,ferates_vs
12,CNY,chinese yuan,30/09/2025,0.7445,0.751,ferates_vs
13,DKK,danish krone,30/09/2025,0.8306,0.8422,ferates_vs
14,NOK,norwegian krone,30/09/2025,0.5295,0.5385,ferates_vs
15,SEK,swedish krona,30/09/2025,0.5612,0.5708,ferates_vs
16,BYN,new belarusian ruble,30/09/2025,1.7535,1.7679,ferates_vs
17,CZK,czech koruna,30/09/2025,0.2549,0.259,ferates_vs
18,ISK,iceland krona,30/09/2025,0.0438,0.0443,ferates_vs
19,SKK,Slovak koruna,30/09/2025,0.2059,0.2087,ferates_vs
20,ILS,israeli shekel,30/09/2025,1.5893,1.6275,ferates_vs
21,KZT,kazakhstan tenge,30/09/2025,0.0097,0.0098,ferates_vs
22,HUF,hungarian forint,30/09/2025,0.0158,0.0161,ferates_vs
23,LVL,latvian lat,30/09/2025,8.8275,8.9462,ferates_vs
24,LTL,lithuanian lita,30/09/2025,1.7968,1.821,ferates_vs
25,SGD,singapore dollar,30/09/2025,4.0998,4.1494,ferates_vs
26,AZN,azerbaijani manat,30/09/2025,3.1108,3.1548,ferates_vs
27,ALL,albanian lek,30/09/2025,0.064,0.065,ferates_vs
28,DZD,algerian dinar,30/09/2025,0.041,0.0413,ferates_vs
29,XCD,east caribbean dollar,30/09/2025,1.9731,1.9892,ferates_vs
30,AOA,angolan kwanza,30/09/2025,0.0058,0.0059,ferates_vs
31,ARS,argentine peso,30/09/2025,0.0039,0.004,ferates_vs
32,AMD,armenian dram,30/09/2025,0.0138,0.014,ferates_vs
33,AWG,aruban guilder,30/09/2025,2.9631,2.9874,ferates_vs
34,AFN,the afghanistan afghani,30/09/2025,0.0788,0.0794,ferates_vs
35,BSD,bahamian dollar,30/09/2025,5.3039,5.3474,ferates_vs
36,BDT,bangladesh taka,30/09/2025,0.0434,0.0441,ferates_vs
37,BBD,barbadian dollar,30/09/2025,2.6653,2.6871,ferates_vs
38,BHD,bahraini dinar,30/09/2025,14.0687,14.1841,ferates_vs
39,BZD,belize dollar,30/09/2025,2.652,2.6737,ferates_vs
40,BMD,bermudian dollar,30/09/2025,5.3039,5.3474,ferates_vs
41,XOF,cfa franc bceao,30/09/2025,0.0095,0.0096,ferates_vs
42,BGN,bulgarian lev,30/09/2025,3.1721,3.2147,ferates_vs
43,BOB,bolivian boliviano,30/09/2025,0.7621,0.7795,ferates_vs
44,BAM,convertible mark,30/09/2025,3.1721,3.2147,ferates_vs
45,BWP,botswana pula,30/09/2025,0.3686,0.4321,ferates_vs
46,BND,brunei dollar,30/09/2025,4.0998,4.1494,ferates_vs
47,BIF,burundi franc,30/09/2025,0.0018,0.0018,ferates_vs
48,VUV,vanuatu vatu,30/09/2025,0.043,0.046,ferates_vs
49,BTN,bhutanese ngultrum,30/09/2025,0.0597,0.0603,ferates_vs
50,VEF,venezuelan bolivar,30/09/2025,0.0299,0.0302,ferates_vs
51,VND,vietnam dong,30/09/2025,0.0002,0.0002,ferates_vs
52,XAF,cfa franc,30/09/2025,0.0095,0.0096,ferates_vs
53,HTG,haitian gourde,30/09/2025,0.0403,0.0406,ferates_vs
54,GYD,guyanese dollar,30/09/2025,0.0253,0.0255,ferates_vs
55,GMD,gambian dalasi,30/09/2025,0.0737,0.0743,ferates_vs
56,GHS,ghanaian cedi,30/09/2025,0.426,0.433,ferates_vs
57,GTQ,guatemala quetzal,30/09/2025,0.6911,0.6986,ferates_vs
58,GNF,guinea franc,30/09/2025,0.0006,0.0006,ferates_vs
59,GIP,gibraltar pound,30/09/2025,7.095,7.1976,ferates_vs
60,HNL,honduras lempira,30/09/2025,0.2031,0.2047,ferates_vs
61,HKD,hong kong dollar,30/09/2025,0.6813,0.6875,ferates_vs
62,DJF,djibouti franc,30/09/2025,0.0299,0.0301,ferates_vs
63,DOP,dominican peso,30/09/2025,0.0847,0.0862,ferates_vs
64,EGP,egyptian pound,30/09/2025,0.1102,0.1115,ferates_vs
65,ZWL,zimbabwe dollar,30/09/2025,0.0001,0.0001,ferates_vs
66,MAD,moroccan dirham,30/09/2025,0.5852,0.59,ferates_vs
67,INR,indian rupee,30/09/2025,0.0597,0.0603,ferates_vs
68,IDR,indonesian rupiah,30/09/2025,0.0003,0.0003,ferates_vs
69,JOD,jordanian dinar,30/09/2025,7.4703,7.5528,ferates_vs
70,IQD,iraqi dinar,30/09/2025,0.004,0.0041,ferates_vs
71,IRR,iran rial,30/09/2025,0.0001,0.0001,ferates_vs
72,YER,yemen riyal,30/09/2025,0.0212,0.0214,ferates_vs
73,CVE,cape verdsky escudos,30/09/2025,0.0563,0.057,ferates_vs
74,KYD,cayman islands dollar,30/09/2025,6.3647,6.4169,ferates_vs
75,KHR,cambodian riel,30/09/2025,0.0013,0.0013,ferates_vs
76,QAR,qatar rial,30/09/2025,1.4549,1.4671,ferates_vs
77,KES,kenyan shilling,30/09/2025,0.041,0.0415,ferates_vs
78,KGS,kyrgyzstani som,30/09/2025,0.0607,0.0611,ferates_vs
79,COP,colombian peso,30/09/2025,0.0014,0.0014,ferates_vs
80,KMF,comorian franc,30/09/2025,0.0126,0.0128,ferates_vs
81,CDF,congolese franc,30/09/2025,0.002,0.002,ferates_vs
82,KRW,south korean won,30/09/2025,0.0038,0.0038,ferates_vs
83,CRC,costa rica colon,30/09/2025,0.0105,0.0107,ferates_vs
84,KWD,kuwaiti dinar,30/09/2025,17.3535,17.5129,ferates_vs
85,LAK,lao kip,30/09/2025,0.0002,0.0002,ferates_vs
86,LSL,lesotsky loti,30/09/2025,0.3047,0.31,ferates_vs
87,LRD,liberian dollar,30/09/2025,0.0295,0.0297,ferates_vs
88,LBP,lebanese pound,30/09/2025,0.0001,0.0001,ferates_vs
89,LYD,libyan dinar,30/09/2025,0.9826,0.9906,ferates_vs
90,MUR,mauritius rupee,30/09/2025,0.1155,0.1175,ferates_vs
91,MRO,mauritania ougulya,30/09/2025,0.0133,0.0134,ferates_vs
92,MGA,malagasy ariary,30/09/2025,0.0012,0.0012,ferates_vs
93,MOP,makaosskaya patacas,30/09/2025,0.661,0.6678,ferates_vs
94,MKD,macedonian denar,30/09/2025,0.1008,0.1016,ferates_vs
95,MWK,malawian kwacha,30/09/2025,0.003,0.0031,ferates_vs
96,MYR,malaysian ringgit,30/09/2025,1.2564,1.2721,ferates_vs
97,MVR,maldivian rufiyaa,30/09/2025,0.3422,0.3468,ferates_vs
98,MXN,mexican peso,30/09/2025,0.289,0.2924,ferates_vs
99,MZN,mozambican metical,30/09/2025,0.0838,0.0845,ferates_vs
100,MNT,mongolian tugrik,30/09/2025,0.0015,0.0015,ferates_vs
101,MMK,myanmar kyat,30/09/2025,0.0015,0.0015,ferates_vs
102,NAD,namibian dollar,30/09/2025,0.3047,0.31,ferates_vs
103,NPR,nepalese rupee,30/09/2025,0.0373,0.0377,ferates_vs
104,NGN,nigerian naira,30/09/2025,0.0036,0.0036,ferates_vs
105,NIO,nicaragua cordoba,30/09/2025,0.1448,0.146,ferates_vs
106,NZD,new zealand dollar,30/09/2025,3.0567,3.1026,ferates_vs
107,XPF,pacific franc,30/09/2025,0.052,0.0527,ferates_vs
108,AED,uae dirham,30/09/2025,1.4438,1.4563,ferates_vs
109,OMR,omani rial,30/09/2025,13.775,13.8901,ferates_vs
110,PKR,pakistani rupee,30/09/2025,0.0188,0.019,ferates_vs
111,PAB,panama balboa,30/09/2025,5.3039,5.3474,ferates_vs
112,PGK,new guinean kina,30/09/2025,1.2273,1.2775,ferates_vs
113,PYG,paraguayan guarani,30/09/2025,0.0008,0.0008,ferates_vs
114,PEN,peruvian nuevo sol,30/09/2025,1.524,1.5376,ferates_vs
115,RWF,rwanda franc,30/09/2025,0.0036,0.0037,ferates_vs
