,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,1.39,1.3949,ferates_vs
1,EUR,euro,30/09/2025,1.6259,1.6401,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0166,0.0169,ferates_vs
3,GBP,british pound,30/09/2025,1.8594,1.8775,ferates_vs
4,CHF,swiss franc,30/09/2025,1.7395,1.7561,ferates_vs
5,PLN,polish zloty,30/09/2025,0.3801,0.3843,ferates_vs
6,JPY,japanese yen,30/09/2025,0.0093,0.0094,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.0335,0.0336,ferates_vs
8,AUD,australian dollar,30/09/2025,0.9093,0.9183,ferates_vs
9,GEL,georgian lari,30/09/2025,0.5071,0.5203,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0836,0.0839,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.1951,0.1959,ferates_vs
12,DKK,danish krone,30/09/2025,0.2177,0.2197,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.1388,0.1405,ferates_vs
14,SEK,swedish krona,30/09/2025,0.1471,0.1489,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.4595,0.4612,ferates_vs
16,CZK,czech koruna,30/09/2025,0.0668,0.0676,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0115,0.0115,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.054,0.0544,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.4165,0.4245,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0025,0.0025,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0042,0.0042,ferates_vs
22,LVL,latvian lat,30/09/2025,2.3134,2.3337,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.4709,0.475,ferates_vs
24,SGD,singapore dollar,30/09/2025,1.0744,1.0824,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.8152,0.8229,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0168,0.017,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0107,0.0108,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.5171,0.5189,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0015,0.0015,ferates_vs
30,ARS,argentine peso,30/09/2025,0.001,0.001,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0036,0.0037,ferates_vs
32,AWG,aruban guilder,30/09/2025,0.7765,0.7793,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.0206,0.0207,ferates_vs
34,BSD,bahamian dollar,30/09/2025,1.39,1.3949,ferates_vs
35,BDT,bangladesh taka,30/09/2025,0.0114,0.0115,ferates_vs
36,BBD,barbadian dollar,30/09/2025,0.6985,0.701,ferates_vs
37,BHD,bahraini dinar,30/09/2025,3.687,3.7,ferates_vs
38,BZD,belize dollar,30/09/2025,0.695,0.6974,ferates_vs
39,BMD,bermudian dollar,30/09/2025,1.39,1.3949,ferates_vs
40,XOF,cfa franc bceao,30/09/2025,0.0025,0.0025,ferates_vs
41,BGN,bulgarian lev,30/09/2025,0.8313,0.8386,ferates_vs
42,BOB,bolivian boliviano,30/09/2025,0.1997,0.2033,ferates_vs
43,BAM,convertible mark,30/09/2025,0.8313,0.8386,ferates_vs
44,BWP,botswana pula,30/09/2025,0.0966,0.1127,ferates_vs
45,BRL,brazilian real,30/09/2025,0.2599,0.263,ferates_vs
46,BND,brunei dollar,30/09/2025,1.0744,1.0824,ferates_vs
47,BIF,burundi franc,30/09/2025,0.0005,0.0005,ferates_vs
48,VUV,vanuatu vatu,30/09/2025,0.0113,0.012,ferates_vs
49,BTN,bhutanese ngultrum,30/09/2025,0.0157,0.0157,ferates_vs
50,VEF,venezuelan bolivar,30/09/2025,0.0078,0.0079,ferates_vs
51,VND,vietnam dong,30/09/2025,0.0001,0.0001,ferates_vs
52,XAF,cfa franc,30/09/2025,0.0025,0.0025,ferates_vs
53,HTG,haitian gourde,30/09/2025,0.0106,0.0106,ferates_vs
54,GYD,guyanese dollar,30/09/2025,0.0066,0.0066,ferates_vs
55,GMD,gambian dalasi,30/09/2025,0.0193,0.0194,ferates_vs
56,GHS,ghanaian cedi,30/09/2025,0.1116,0.1129,ferates_vs
57,GTQ,guatemala quetzal,30/09/2025,0.1811,0.1822,ferates_vs
58,GNF,guinea franc,30/09/2025,0.0002,0.0002,ferates_vs
59,GIP,gibraltar pound,30/09/2025,1.8594,1.8775,ferates_vs
60,HNL,honduras lempira,30/09/2025,0.0532,0.0534,ferates_vs
61,HKD,hong kong dollar,30/09/2025,0.1786,0.1793,ferates_vs
62,DJF,djibouti franc,30/09/2025,0.0078,0.0079,ferates_vs
63,DOP,dominican peso,30/09/2025,0.0222,0.0225,ferates_vs
64,EGP,egyptian pound,30/09/2025,0.0289,0.0291,ferates_vs
65,MAD,moroccan dirham,30/09/2025,0.1534,0.1539,ferates_vs
66,INR,indian rupee,30/09/2025,0.0157,0.0157,ferates_vs
67,IDR,indonesian rupiah,30/09/2025,0.0001,0.0001,ferates_vs
68,JOD,jordanian dinar,30/09/2025,1.9577,1.9702,ferates_vs
