,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,0.7943,0.7991,ferates_vs
1,EUR,euro,30/09/2025,0.9291,0.9396,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0095,0.0097,ferates_vs
3,GBP,british pound,30/09/2025,1.0625,1.0756,ferates_vs
4,PLN,polish zloty,30/09/2025,0.2172,0.2202,ferates_vs
5,JPY,japanese yen,30/09/2025,0.0053,0.0054,ferates_vs
6,UAH,ukrainian hryvnia,30/09/2025,0.0191,0.0193,ferates_vs
7,CAD,canadian dollar,30/09/2025,0.5694,0.5749,ferates_vs
8,AUD,australian dollar,30/09/2025,0.5196,0.526,ferates_vs
9,GEL,georgian lari,30/09/2025,0.2898,0.2981,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0478,0.0481,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.1115,0.1122,ferates_vs
12,DKK,danish krone,30/09/2025,0.1244,0.1259,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.0793,0.0805,ferates_vs
14,SEK,swedish krona,30/09/2025,0.084,0.0853,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.2626,0.2642,ferates_vs
16,CZK,czech koruna,30/09/2025,0.0382,0.0387,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0066,0.0066,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.0308,0.0312,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.238,0.2432,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0014,0.0015,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0024,0.0024,ferates_vs
22,LVL,latvian lat,30/09/2025,1.322,1.3369,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.2691,0.2721,ferates_vs
24,SGD,singapore dollar,30/09/2025,0.614,0.6201,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.4659,0.4714,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0096,0.0097,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0061,0.0062,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.2955,0.2973,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0009,0.0009,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0006,0.0006,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0021,0.0021,ferates_vs
32,AWG,aruban guilder,30/09/2025,0.4437,0.4464,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.0118,0.0119,ferates_vs
34,BSD,bahamian dollar,30/09/2025,0.7943,0.7991,ferates_vs
35,BDT,bangladesh taka,30/09/2025,0.0065,0.0066,ferates_vs
36,BBD,barbadian dollar,30/09/2025,0.3991,0.4016,ferates_vs
37,BHD,bahraini dinar,30/09/2025,2.1069,2.1196,ferates_vs
38,BZD,belize dollar,30/09/2025,0.3972,0.3995,ferates_vs
39,BMD,bermudian dollar,30/09/2025,0.7943,0.7991,ferates_vs
40,XOF,cfa franc bceao,30/09/2025,0.0014,0.0014,ferates_vs
41,BGN,bulgarian lev,30/09/2025,0.475,0.4804,ferates_vs
42,BOB,bolivian boliviano,30/09/2025,0.1141,0.1165,ferates_vs
43,BAM,convertible mark,30/09/2025,0.475,0.4804,ferates_vs
44,BWP,botswana pula,30/09/2025,0.0552,0.0646,ferates_vs
45,BRL,brazilian real,30/09/2025,0.1485,0.1507,ferates_vs
46,BND,brunei dollar,30/09/2025,0.614,0.6201,ferates_vs
