,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,7.1202,7.1237,ferates_vs
1,EUR,euro,30/09/2025,8.3285,8.3761,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0852,0.0862,ferates_vs
3,GBP,british pound,30/09/2025,9.5247,9.5885,ferates_vs
4,CHF,swiss franc,30/09/2025,8.9103,8.9686,ferates_vs
5,PLN,polish zloty,30/09/2025,1.9468,1.9627,ferates_vs
6,JPY,japanese yen,30/09/2025,0.0476,0.048,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.1717,0.1717,ferates_vs
8,CAD,canadian dollar,30/09/2025,5.1044,5.125,ferates_vs
9,AUD,australian dollar,30/09/2025,4.658,4.6895,ferates_vs
10,GEL,georgian lari,30/09/2025,2.5977,2.6571,ferates_vs
11,MDL,moldovan leu,30/09/2025,0.4282,0.4284,ferates_vs
12,DKK,danish krone,30/09/2025,1.115,1.122,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.7109,0.7173,ferates_vs
14,SEK,swedish krona,30/09/2025,0.7534,0.7605,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,2.354,2.3552,ferates_vs
16,CZK,czech koruna,30/09/2025,0.3422,0.345,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0588,0.059,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.2765,0.278,ferates_vs
19,ILS,israeli shekel,30/09/2025,2.1335,2.1682,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.013,0.013,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0213,0.0214,ferates_vs
22,LVL,latvian lat,30/09/2025,11.8504,11.9181,ferates_vs
23,LTL,lithuanian lita,30/09/2025,2.4121,2.4259,ferates_vs
24,SGD,singapore dollar,30/09/2025,5.5037,5.5278,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,4.1761,4.2028,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0859,0.0866,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.055,0.055,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,2.6487,2.65,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0078,0.0078,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0052,0.0053,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0185,0.0187,ferates_vs
32,AWG,aruban guilder,30/09/2025,3.9777,3.9797,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.1057,0.1058,ferates_vs
34,BSD,bahamian dollar,30/09/2025,7.1202,7.1237,ferates_vs
35,BDT,bangladesh taka,30/09/2025,0.0583,0.0588,ferates_vs
36,BBD,barbadian dollar,30/09/2025,3.578,3.5798,ferates_vs
37,BHD,bahraini dinar,30/09/2025,18.8864,18.8958,ferates_vs
38,BZD,belize dollar,30/09/2025,3.5601,3.5619,ferates_vs
39,BMD,bermudian dollar,30/09/2025,7.1202,7.1237,ferates_vs
40,XOF,cfa franc bceao,30/09/2025,0.0127,0.0128,ferates_vs
41,BGN,bulgarian lev,30/09/2025,4.2583,4.2826,ferates_vs
42,BOB,bolivian boliviano,30/09/2025,1.023,1.0384,ferates_vs
43,BAM,convertible mark,30/09/2025,4.2583,4.2826,ferates_vs
44,BWP,botswana pula,30/09/2025,0.4949,0.5756,ferates_vs
45,BRL,brazilian real,30/09/2025,1.3315,1.3431,ferates_vs
46,BND,brunei dollar,30/09/2025,5.5037,5.5278,ferates_vs
47,BIF,burundi franc,30/09/2025,0.0024,0.0024,ferates_vs
48,VUV,vanuatu vatu,30/09/2025,0.0578,0.0613,ferates_vs
49,BTN,bhutanese ngultrum,30/09/2025,0.0802,0.0804,ferates_vs
50,VEF,venezuelan bolivar,30/09/2025,0.0401,0.0402,ferates_vs
51,VND,vietnam dong,30/09/2025,0.0003,0.0003,ferates_vs
52,XAF,cfa franc,30/09/2025,0.0127,0.0128,ferates_vs
53,HTG,haitian gourde,30/09/2025,0.0541,0.0541,ferates_vs
54,GYD,guyanese dollar,30/09/2025,0.0339,0.034,ferates_vs
55,GMD,gambian dalasi,30/09/2025,0.099,0.099,ferates_vs
56,GHS,ghanaian cedi,30/09/2025,0.5719,0.5768,ferates_vs
57,GTQ,guatemala quetzal,30/09/2025,0.9277,0.9306,ferates_vs
58,GNF,guinea franc,30/09/2025,0.0008,0.0008,ferates_vs
59,GIP,gibraltar pound,30/09/2025,9.5247,9.5885,ferates_vs
60,HNL,honduras lempira,30/09/2025,0.2726,0.2728,ferates_vs
61,HKD,hong kong dollar,30/09/2025,0.9146,0.9159,ferates_vs
62,DJF,djibouti franc,30/09/2025,0.0401,0.0401,ferates_vs
63,DOP,dominican peso,30/09/2025,0.1137,0.1148,ferates_vs
64,EGP,egyptian pound,30/09/2025,0.148,0.1485,ferates_vs
65,ZWL,zimbabwe dollar,30/09/2025,0.0001,0.0001,ferates_vs
66,MAD,moroccan dirham,30/09/2025,0.7856,0.786,ferates_vs
67,INR,indian rupee,30/09/2025,0.0802,0.0804,ferates_vs
68,IDR,indonesian rupiah,30/09/2025,0.0004,0.0004,ferates_vs
69,JOD,jordanian dinar,30/09/2025,10.0284,10.0618,ferates_vs
70,IQD,iraqi dinar,30/09/2025,0.0054,0.0054,ferates_vs
71,IRR,iran rial,30/09/2025,0.0002,0.0002,ferates_vs
72,YER,yemen riyal,30/09/2025,0.0284,0.0285,ferates_vs
73,CVE,cape verdsky escudos,30/09/2025,0.0755,0.076,ferates_vs
74,KYD,cayman islands dollar,30/09/2025,8.5442,8.5485,ferates_vs
75,KHR,cambodian riel,30/09/2025,0.0018,0.0018,ferates_vs
76,QAR,qatar rial,30/09/2025,1.9531,1.9545,ferates_vs
77,KES,kenyan shilling,30/09/2025,0.055,0.0552,ferates_vs
78,KGS,kyrgyzstani som,30/09/2025,0.0814,0.0815,ferates_vs
79,COP,colombian peso,30/09/2025,0.0018,0.0018,ferates_vs
80,KMF,comorian franc,30/09/2025,0.0169,0.017,ferates_vs
81,CDF,congolese franc,30/09/2025,0.0027,0.0027,ferates_vs
82,KRW,south korean won,30/09/2025,0.0051,0.0051,ferates_vs
83,CRC,costa rica colon,30/09/2025,0.0141,0.0142,ferates_vs
84,KWD,kuwaiti dinar,30/09/2025,23.2959,23.3305,ferates_vs
85,LAK,lao kip,30/09/2025,0.0003,0.0003,ferates_vs
86,LSL,lesotsky loti,30/09/2025,0.409,0.413,ferates_vs
87,LRD,liberian dollar,30/09/2025,0.0396,0.0396,ferates_vs
88,LBP,lebanese pound,30/09/2025,0.0001,0.0001,ferates_vs
89,LYD,libyan dinar,30/09/2025,1.319,1.3197,ferates_vs
90,MUR,mauritius rupee,30/09/2025,0.1551,0.1565,ferates_vs
91,MRO,mauritania ougulya,30/09/2025,0.0179,0.0179,ferates_vs
92,MGA,malagasy ariary,30/09/2025,0.0016,0.0016,ferates_vs
93,MOP,makaosskaya patacas,30/09/2025,0.8874,0.8896,ferates_vs
94,MKD,macedonian denar,30/09/2025,0.1353,0.1354,ferates_vs
95,MWK,malawian kwacha,30/09/2025,0.0041,0.0041,ferates_vs
96,MYR,malaysian ringgit,30/09/2025,1.6866,1.6947,ferates_vs
97,MVR,maldivian rufiyaa,30/09/2025,0.4594,0.462,ferates_vs
98,MXN,mexican peso,30/09/2025,0.388,0.3895,ferates_vs
99,MZN,mozambican metical,30/09/2025,0.1125,0.1126,ferates_vs
100,MNT,mongolian tugrik,30/09/2025,0.002,0.002,ferates_vs
101,MMK,myanmar kyat,30/09/2025,0.002,0.002,ferates_vs
102,NAD,namibian dollar,30/09/2025,0.409,0.413,ferates_vs
103,NPR,nepalese rupee,30/09/2025,0.0501,0.0502,ferates_vs
104,NGN,nigerian naira,30/09/2025,0.0048,0.0048,ferates_vs
105,NIO,nicaragua cordoba,30/09/2025,0.1944,0.1945,ferates_vs
106,NZD,new zealand dollar,30/09/2025,4.1034,4.1332,ferates_vs
107,XPF,pacific franc,30/09/2025,0.0698,0.0702,ferates_vs
108,AED,uae dirham,30/09/2025,1.9382,1.9401,ferates_vs
109,OMR,omani rial,30/09/2025,18.492,18.5042,ferates_vs
110,PKR,pakistani rupee,30/09/2025,0.0253,0.0253,ferates_vs
111,PAB,panama balboa,30/09/2025,7.1202,7.1237,ferates_vs
112,PGK,new guinean kina,30/09/2025,1.6476,1.7019,ferates_vs
113,PYG,paraguayan guarani,30/09/2025,0.001,0.001,ferates_vs
114,PEN,peruvian nuevo sol,30/09/2025,2.0459,2.0483,ferates_vs
115,RWF,rwanda franc,30/09/2025,0.0049,0.0049,ferates_vs
116,RON,romanian leu,30/09/2025,1.6388,1.6498,ferates_vs
117,SVC,salvadoran colon,30/09/2025,0.8137,0.8141,ferates_vs
118,WST,samoa tala,30/09/2025,2.4906,2.6308,ferates_vs
119,STD,good sao tome and principe,30/09/2025,0.0003,0.0003,ferates_vs
120,SAR,saudi arabian riyal,30/09/2025,1.8983,1.8996,ferates_vs
121,SZL,swaziland lilageni,30/09/2025,0.409,0.413,ferates_vs
122,SHP,saint helena pound,30/09/2025,9.5247,9.5885,ferates_vs
123,SCR,seychelles rupee,30/09/2025,0.4891,0.4893,ferates_vs
124,RSD,serbian dinar,30/09/2025,0.0712,0.0714,ferates_vs
125,SYP,syrian pound,30/09/2025,0.0011,0.0011,ferates_vs
126,SBD,solomon islands dollar,30/09/2025,0.8434,0.8972,ferates_vs
127,SOS,somali shilling,30/09/2025,0.0125,0.0125,ferates_vs
128,SDG,sudanese pound,30/09/2025,0.0118,0.0119,ferates_vs
129,SRD,surinamese dollar,30/09/2025,0.1881,0.1902,ferates_vs
