,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,0.8505,0.8549,ferates_vs
1,RUB,russian ruble,30/09/2025,0.0102,0.0103,ferates_vs
2,GBP,british pound,30/09/2025,1.1377,1.1507,ferates_vs
3,CHF,swiss franc,30/09/2025,1.0643,1.0763,ferates_vs
4,PLN,polish zloty,30/09/2025,0.2325,0.2355,ferates_vs
5,JPY,japanese yen,30/09/2025,0.0057,0.0058,ferates_vs
6,UAH,ukrainian hryvnia,30/09/2025,0.0205,0.0206,ferates_vs
7,CAD,canadian dollar,30/09/2025,0.6097,0.6151,ferates_vs
8,AUD,australian dollar,30/09/2025,0.5564,0.5628,ferates_vs
9,GEL,georgian lari,30/09/2025,0.3103,0.3189,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0511,0.0514,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.1194,0.1201,ferates_vs
12,DKK,danish krone,30/09/2025,0.1332,0.1346,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.0849,0.0861,ferates_vs
14,SEK,swedish krona,30/09/2025,0.09,0.0913,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.2812,0.2826,ferates_vs
16,CZK,czech koruna,30/09/2025,0.0409,0.0414,ferates_vs
17,ISK,iceland krona,30/09/2025,0.007,0.0071,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.033,0.0334,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.2548,0.2602,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0015,0.0016,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0025,0.0026,ferates_vs
22,LVL,latvian lat,30/09/2025,1.4155,1.4303,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.2881,0.2911,ferates_vs
24,SGD,singapore dollar,30/09/2025,0.6574,0.6634,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.4988,0.5044,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0103,0.0104,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0066,0.0066,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.3164,0.318,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0009,0.0009,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0006,0.0006,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0022,0.0022,ferates_vs
32,AWG,aruban guilder,30/09/2025,0.4751,0.4776,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.0126,0.0127,ferates_vs
34,BSD,bahamian dollar,30/09/2025,0.8505,0.8549,ferates_vs
35,BDT,bangladesh taka,30/09/2025,0.007,0.0071,ferates_vs
36,BBD,barbadian dollar,30/09/2025,0.4274,0.4296,ferates_vs
