,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,0.7429,0.7476,ferates_vs
1,EUR,euro,30/09/2025,0.869,0.879,ferates_vs
2,RUB,russian ruble,30/09/2025,0.0089,0.009,ferates_vs
3,CHF,swiss franc,30/09/2025,0.9297,0.9411,ferates_vs
4,PLN,polish zloty,30/09/2025,0.2031,0.206,ferates_vs
5,JPY,japanese yen,30/09/2025,0.005,0.005,ferates_vs
6,UAH,ukrainian hryvnia,30/09/2025,0.0179,0.018,ferates_vs
7,CAD,canadian dollar,30/09/2025,0.5326,0.5378,ferates_vs
8,AUD,australian dollar,30/09/2025,0.486,0.4921,ferates_vs
9,GEL,georgian lari,30/09/2025,0.271,0.2788,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0447,0.045,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.1043,0.105,ferates_vs
12,DKK,danish krone,30/09/2025,0.1163,0.1177,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.0742,0.0753,ferates_vs
14,SEK,swedish krona,30/09/2025,0.0786,0.0798,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.2456,0.2471,ferates_vs
16,CZK,czech koruna,30/09/2025,0.0357,0.0362,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0061,0.0062,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.0288,0.0292,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.2226,0.2275,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0014,0.0014,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.0022,0.0022,ferates_vs
22,LVL,latvian lat,30/09/2025,1.2365,1.2507,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.2517,0.2546,ferates_vs
24,SGD,singapore dollar,30/09/2025,0.5743,0.5801,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.4357,0.441,ferates_vs
26,ALL,albanian lek,30/09/2025,0.009,0.0091,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0057,0.0058,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.2764,0.2781,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0008,0.0008,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0005,0.0006,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0019,0.002,ferates_vs
32,AWG,aruban guilder,30/09/2025,0.4151,0.4176,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.011,0.0111,ferates_vs
34,BSD,bahamian dollar,30/09/2025,0.7429,0.7476,ferates_vs
