,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,7.7776,7.7848,ferates_vs
1,EUR,euro,30/09/2025,9.0975,9.1533,ferates_vs
2,RUB,russian ruble,30/09/2025,0.093,0.0942,ferates_vs
3,GBP,british pound,30/09/2025,10.4041,10.4783,ferates_vs
4,CHF,swiss franc,30/09/2025,9.733,9.8008,ferates_vs
5,PLN,polish zloty,30/09/2025,2.1265,2.1448,ferates_vs
6,JPY,japanese yen,30/09/2025,0.052,0.0524,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.1875,0.1877,ferates_vs
8,CAD,canadian dollar,30/09/2025,5.5758,5.6005,ferates_vs
9,AUD,australian dollar,30/09/2025,5.0881,5.1247,ferates_vs
10,GEL,georgian lari,30/09/2025,2.8375,2.9037,ferates_vs
11,MDL,moldovan leu,30/09/2025,0.4677,0.4681,ferates_vs
12,CNY,chinese yuan,30/09/2025,1.0918,1.0933,ferates_vs
13,DKK,danish krone,30/09/2025,1.218,1.2261,ferates_vs
14,NOK,norwegian krone,30/09/2025,0.7765,0.7839,ferates_vs
15,SEK,swedish krona,30/09/2025,0.8229,0.831,ferates_vs
16,BYN,new belarusian ruble,30/09/2025,2.5714,2.5737,ferates_vs
17,CZK,czech koruna,30/09/2025,0.3738,0.377,ferates_vs
18,ISK,iceland krona,30/09/2025,0.0643,0.0644,ferates_vs
19,SKK,Slovak koruna,30/09/2025,0.302,0.3038,ferates_vs
20,ILS,israeli shekel,30/09/2025,2.3305,2.3694,ferates_vs
21,KZT,kazakhstan tenge,30/09/2025,0.0142,0.0142,ferates_vs
22,HUF,hungarian forint,30/09/2025,0.0232,0.0234,ferates_vs
23,LVL,latvian lat,30/09/2025,12.9446,13.024,ferates_vs
24,LTL,lithuanian lita,30/09/2025,2.6348,2.651,ferates_vs
25,SGD,singapore dollar,30/09/2025,6.0119,6.0408,ferates_vs
26,AZN,azerbaijani manat,30/09/2025,4.5617,4.5928,ferates_vs
27,ALL,albanian lek,30/09/2025,0.0938,0.0946,ferates_vs
28,DZD,algerian dinar,30/09/2025,0.0601,0.0601,ferates_vs
29,XCD,east caribbean dollar,30/09/2025,2.8933,2.8959,ferates_vs
30,AOA,angolan kwanza,30/09/2025,0.0085,0.0085,ferates_vs
31,ARS,argentine peso,30/09/2025,0.0057,0.0058,ferates_vs
32,AMD,armenian dram,30/09/2025,0.0203,0.0204,ferates_vs
33,AWG,aruban guilder,30/09/2025,4.345,4.349,ferates_vs
34,AFN,the afghanistan afghani,30/09/2025,0.1155,0.1156,ferates_vs
35,BSD,bahamian dollar,30/09/2025,7.7776,7.7848,ferates_vs
36,BDT,bangladesh taka,30/09/2025,0.0636,0.0642,ferates_vs
37,BBD,barbadian dollar,30/09/2025,3.9084,3.9119,ferates_vs
38,BHD,bahraini dinar,30/09/2025,20.6303,20.6492,ferates_vs
39,BZD,belize dollar,30/09/2025,3.8888,3.8924,ferates_vs
40,BMD,bermudian dollar,30/09/2025,7.7776,7.7848,ferates_vs
41,XOF,cfa franc bceao,30/09/2025,0.0139,0.014,ferates_vs
42,BGN,bulgarian lev,30/09/2025,4.6515,4.68,ferates_vs
43,BOB,bolivian boliviano,30/09/2025,1.1175,1.1348,ferates_vs
44,BAM,convertible mark,30/09/2025,4.6515,4.68,ferates_vs
45,BWP,botswana pula,30/09/2025,0.5405,0.629,ferates_vs
46,BRL,brazilian real,30/09/2025,1.4545,1.4677,ferates_vs
47,BND,brunei dollar,30/09/2025,6.0119,6.0408,ferates_vs
48,BIF,burundi franc,30/09/2025,0.0027,0.0027,ferates_vs
49,VUV,vanuatu vatu,30/09/2025,0.0631,0.067,ferates_vs
50,BTN,bhutanese ngultrum,30/09/2025,0.0876,0.0878,ferates_vs
51,VEF,venezuelan bolivar,30/09/2025,0.0438,0.0439,ferates_vs
52,VND,vietnam dong,30/09/2025,0.0003,0.0003,ferates_vs
53,XAF,cfa franc,30/09/2025,0.0139,0.014,ferates_vs
54,HTG,haitian gourde,30/09/2025,0.059,0.0591,ferates_vs
55,GYD,guyanese dollar,30/09/2025,0.0371,0.0371,ferates_vs
56,GMD,gambian dalasi,30/09/2025,0.1081,0.1082,ferates_vs
57,GHS,ghanaian cedi,30/09/2025,0.6247,0.6303,ferates_vs
58,GTQ,guatemala quetzal,30/09/2025,1.0134,1.017,ferates_vs
59,GNF,guinea franc,30/09/2025,0.0009,0.0009,ferates_vs
60,GIP,gibraltar pound,30/09/2025,10.4041,10.4783,ferates_vs
61,HNL,honduras lempira,30/09/2025,0.2978,0.2981,ferates_vs
62,DJF,djibouti franc,30/09/2025,0.0438,0.0438,ferates_vs
63,DOP,dominican peso,30/09/2025,0.1242,0.1254,ferates_vs
64,EGP,egyptian pound,30/09/2025,0.1616,0.1623,ferates_vs
65,ZWL,zimbabwe dollar,30/09/2025,0.0001,0.0001,ferates_vs
66,MAD,moroccan dirham,30/09/2025,0.8581,0.8589,ferates_vs
67,INR,indian rupee,30/09/2025,0.0876,0.0878,ferates_vs
68,IDR,indonesian rupiah,30/09/2025,0.0005,0.0005,ferates_vs
69,JOD,jordanian dinar,30/09/2025,10.9544,10.9954,ferates_vs
70,IQD,iraqi dinar,30/09/2025,0.0059,0.0059,ferates_vs
71,IRR,iran rial,30/09/2025,0.0002,0.0002,ferates_vs
72,YER,yemen riyal,30/09/2025,0.031,0.0311,ferates_vs
73,CVE,cape verdsky escudos,30/09/2025,0.0825,0.083,ferates_vs
74,KYD,cayman islands dollar,30/09/2025,9.3331,9.3417,ferates_vs
75,KHR,cambodian riel,30/09/2025,0.0019,0.0019,ferates_vs
76,QAR,qatar rial,30/09/2025,2.1335,2.1359,ferates_vs
77,KES,kenyan shilling,30/09/2025,0.0601,0.0603,ferates_vs
78,KGS,kyrgyzstani som,30/09/2025,0.0889,0.089,ferates_vs
79,COP,colombian peso,30/09/2025,0.002,0.002,ferates_vs
80,KMF,comorian franc,30/09/2025,0.0185,0.0186,ferates_vs
81,CDF,congolese franc,30/09/2025,0.003,0.003,ferates_vs
82,KRW,south korean won,30/09/2025,0.0056,0.0056,ferates_vs
83,CRC,costa rica colon,30/09/2025,0.0154,0.0156,ferates_vs
84,KWD,kuwaiti dinar,30/09/2025,25.447,25.4954,ferates_vs
85,LAK,lao kip,30/09/2025,0.0004,0.0004,ferates_vs
86,LSL,lesotsky loti,30/09/2025,0.4468,0.4513,ferates_vs
87,LRD,liberian dollar,30/09/2025,0.0432,0.0433,ferates_vs
88,LBP,lebanese pound,30/09/2025,0.0001,0.0001,ferates_vs
89,LYD,libyan dinar,30/09/2025,1.4408,1.4421,ferates_vs
90,MUR,mauritius rupee,30/09/2025,0.1694,0.1711,ferates_vs
91,MRO,mauritania ougulya,30/09/2025,0.0196,0.0196,ferates_vs
92,MGA,malagasy ariary,30/09/2025,0.0017,0.0017,ferates_vs
93,MOP,makaosskaya patacas,30/09/2025,0.9693,0.9722,ferates_vs
94,MKD,macedonian denar,30/09/2025,0.1478,0.1479,ferates_vs
95,MWK,malawian kwacha,30/09/2025,0.0044,0.0045,ferates_vs
96,MYR,malaysian ringgit,30/09/2025,1.8424,1.852,ferates_vs
97,MVR,maldivian rufiyaa,30/09/2025,0.5018,0.5048,ferates_vs
98,MXN,mexican peso,30/09/2025,0.4238,0.4257,ferates_vs
99,MZN,mozambican metical,30/09/2025,0.1229,0.123,ferates_vs
100,MNT,mongolian tugrik,30/09/2025,0.0022,0.0022,ferates_vs
101,MMK,myanmar kyat,30/09/2025,0.0021,0.0021,ferates_vs
102,NAD,namibian dollar,30/09/2025,0.4468,0.4513,ferates_vs
103,NPR,nepalese rupee,30/09/2025,0.0547,0.0549,ferates_vs
104,NGN,nigerian naira,30/09/2025,0.0052,0.0052,ferates_vs
105,NIO,nicaragua cordoba,30/09/2025,0.2124,0.2126,ferates_vs
106,NZD,new zealand dollar,30/09/2025,4.4823,4.5167,ferates_vs
107,XPF,pacific franc,30/09/2025,0.0762,0.0767,ferates_vs
108,AED,uae dirham,30/09/2025,2.1172,2.1201,ferates_vs
109,OMR,omani rial,30/09/2025,20.1995,20.2212,ferates_vs
110,PKR,pakistani rupee,30/09/2025,0.0276,0.0277,ferates_vs
111,PAB,panama balboa,30/09/2025,7.7776,7.7848,ferates_vs
112,PGK,new guinean kina,30/09/2025,1.7997,1.8598,ferates_vs
113,PYG,paraguayan guarani,30/09/2025,0.0011,0.0011,ferates_vs
114,PEN,peruvian nuevo sol,30/09/2025,2.2348,2.2384,ferates_vs
115,RWF,rwanda franc,30/09/2025,0.0053,0.0054,ferates_vs
116,RON,romanian leu,30/09/2025,1.7901,1.8029,ferates_vs
117,SVC,salvadoran colon,30/09/2025,0.8889,0.8897,ferates_vs
118,WST,samoa tala,30/09/2025,2.7206,2.8749,ferates_vs
119,STD,good sao tome and principe,30/09/2025,0.0004,0.0004,ferates_vs
120,SAR,saudi arabian riyal,30/09/2025,2.0735,2.0759,ferates_vs
121,SZL,swaziland lilageni,30/09/2025,0.4468,0.4513,ferates_vs
122,SHP,saint helena pound,30/09/2025,10.4041,10.4783,ferates_vs
123,SCR,seychelles rupee,30/09/2025,0.5342,0.5347,ferates_vs
124,RSD,serbian dinar,30/09/2025,0.0777,0.078,ferates_vs
125,SYP,syrian pound,30/09/2025,0.0012,0.0012,ferates_vs
126,SBD,solomon islands dollar,30/09/2025,0.9213,0.9805,ferates_vs
127,SOS,somali shilling,30/09/2025,0.0137,0.0137,ferates_vs
128,SDG,sudanese pound,30/09/2025,0.0129,0.013,ferates_vs
129,SRD,surinamese dollar,30/09/2025,0.2055,0.2079,ferates_vs
130,SLL,sierra leone leone,30/09/2025,0.0003,0.0003,ferates_vs
131,TJS,tajik somoni,30/09/2025,0.8276,0.8283,ferates_vs
132,THB,thai baht,30/09/2025,0.2409,0.242,ferates_vs
133,TWD,taiwan dollar,30/09/2025,0.2551,0.2556,ferates_vs
134,TZS,tanzanian shilling,30/09/2025,0.0031,0.0032,ferates_vs
135,TOP,tonga pa'ang,30/09/2025,3.1612,3.3159,ferates_vs
136,TTD,trinidad and tobago dollar,30/09/2025,1.1598,1.1609,ferates_vs
137,TND,tunisian dinar,30/09/2025,2.6663,2.6779,ferates_vs
138,TMT,new manat,30/09/2025,2.2279,2.23,ferates_vs
139,TRY,turkish lira,30/09/2025,0.1869,0.1882,ferates_vs
140,UGX,ugandan shilling,30/09/2025,0.0022,0.0022,ferates_vs
141,UZS,uzbekistan sum,30/09/2025,0.0006,0.0006,ferates_vs
142,UYU,uruguayan peso,30/09/2025,0.1952,0.1954,ferates_vs
143,FJD,fijian dollar,30/09/2025,3.3525,3.449,ferates_vs
144,PHP,philippine peso,30/09/2025,0.1339,0.1341,ferates_vs
145,FKP,falkland islands,30/09/2025,10.4041,10.4783,ferates_vs
146,HRK,croatian kuna,30/09/2025,1.2074,1.2149,ferates_vs
147,CLP,chilean peso,30/09/2025,0.0081,0.0081,ferates_vs
148,LKR,sri lanka rupee,30/09/2025,0.0257,0.0257,ferates_vs
149,ERN,the eritrean nakfa,30/09/2025,0.5185,0.519,ferates_vs
150,ETB,ethiopian birr,30/09/2025,0.0537,0.0538,ferates_vs
151,ZAR,south african rand,30/09/2025,0.4468,0.4513,ferates_vs
152,SSP,south sudanese pound,30/09/2025,0.0017,0.0017,ferates_vs
153,JMD,jamaican dollar,30/09/2025,0.0489,0.0489,ferates_vs
