,Currency,Name,Valid Date,Bid,Ask
0,USD,U.S. dollar,09/05/2025,3.5338,3.5827
1,EUR,euro,09/05/2025,3.9561,4.0463
2,RUB,russian ruble,09/05/2025,0.0418,0.0433
3,GBP,british pound,09/05/2025,4.6678,4.7725
4,CHF,swiss franc,09/05/2025,4.2341,4.3337
5,PLN,polish zloty,09/05/2025,0.9302,0.9553
6,JPY,japanese yen,09/05/2025,0.0242,0.0247
7,UAH,ukrainian hryvnia,09/05/2025,0.0851,0.0862
8,CAD,canadian dollar,09/05/2025,2.5341,2.5767
9,AUD,australian dollar,09/05/2025,2.2507,2.3055
10,GEL,georgian lari,09/05/2025,1.3015,1.3216
11,MDL,moldovan leu,09/05/2025,0.2060,0.2095
12,CNY,chinese yuan,09/05/2025,0.4883,0.4951
13,DKK,danish krone,09/05/2025,0.5303,0.5424
14,NOK,norwegian krone,09/05/2025,0.3370,0.3470
15,SEK,swedish krona,09/05/2025,0.3615,0.3709
16,BYN,new belarusian ruble,09/05/2025,1.1687,1.1848
17,CZK,czech koruna,09/05/2025,0.1586,0.1622
18,ISK,iceland krona,09/05/2025,0.0272,0.0276
19,KZT,kazakhstan tenge,09/05/2025,0.0068,0.0069
20,HUF,hungarian forint,09/05/2025,0.0097,0.0100
21,SGD,singapore dollar,09/05/2025,2.7110,2.7651
22,AZN,azerbaijani manat,09/05/2025,2.0787,2.1075
23,ALL,albanian lek,09/05/2025,0.0403,0.0413
24,DZD,algerian dinar,09/05/2025,0.0265,0.0270
25,XCD,east caribbean dollar,09/05/2025,1.3146,1.3328
26,AOA,angolan kwanza,09/05/2025,0.0038,0.0039
27,ARS,argentine peso,09/05/2025,0.0032,0.0033
28,AMD,armenian dram,09/05/2025,0.0091,0.0092
29,AWG,aruban guilder,09/05/2025,1.9742,2.0015
30,AFN,the afghanistan afghani,09/05/2025,0.0504,0.0511
31,BSD,bahamian dollar,09/05/2025,3.5338,3.5827
