,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,88.6211,88.8099,ferates_vs
1,EUR,euro,30/09/2025,103.66,104.4227,ferates_vs
2,RUB,russian ruble,30/09/2025,1.06,1.0745,ferates_vs
3,GBP,british pound,30/09/2025,118.5484,119.5382,ferates_vs
4,CHF,swiss franc,30/09/2025,110.9013,111.8091,ferates_vs
5,PLN,polish zloty,30/09/2025,24.2307,24.4682,ferates_vs
6,JPY,japanese yen,30/09/2025,0.5923,0.5982,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,2.1366,2.1411,ferates_vs
8,CAD,canadian dollar,30/09/2025,63.5323,63.892,ferates_vs
9,AUD,australian dollar,30/09/2025,57.976,58.4635,ferates_vs
10,GEL,georgian lari,30/09/2025,32.3316,33.1257,ferates_vs
11,MDL,moldovan leu,30/09/2025,5.329,5.3403,ferates_vs
12,CNY,chinese yuan,30/09/2025,12.4403,12.473,ferates_vs
13,DKK,danish krone,30/09/2025,13.8779,13.9871,ferates_vs
14,NOK,norwegian krone,30/09/2025,8.8477,8.943,ferates_vs
15,SEK,swedish krona,30/09/2025,9.3767,9.4805,ferates_vs
16,BYN,new belarusian ruble,30/09/2025,29.2991,29.3615,ferates_vs
17,CZK,czech koruna,30/09/2025,4.259,4.3011,ferates_vs
18,ISK,iceland krona,30/09/2025,0.7324,0.7351,ferates_vs
19,SKK,Slovak koruna,30/09/2025,3.4409,3.4662,ferates_vs
20,ILS,israeli shekel,30/09/2025,26.5548,27.03,ferates_vs
21,KZT,kazakhstan tenge,30/09/2025,0.1614,0.162,ferates_vs
22,HUF,hungarian forint,30/09/2025,0.2646,0.2672,ferates_vs
23,LVL,latvian lat,30/09/2025,147.4956,148.5799,ferates_vs
24,LTL,lithuanian lita,30/09/2025,30.0221,30.2429,ferates_vs
25,SGD,singapore dollar,30/09/2025,68.5021,68.9143,ferates_vs
26,AZN,azerbaijani manat,30/09/2025,51.9771,52.3953,ferates_vs
27,ALL,albanian lek,30/09/2025,1.0691,1.0795,ferates_vs
28,DZD,algerian dinar,30/09/2025,0.6843,0.6859,ferates_vs
29,XCD,east caribbean dollar,30/09/2025,32.967,33.0373,ferates_vs
30,AOA,angolan kwanza,30/09/2025,0.0972,0.0974,ferates_vs
31,ARS,argentine peso,30/09/2025,0.0644,0.0663,ferates_vs
32,AMD,armenian dram,30/09/2025,0.2308,0.2331,ferates_vs
33,AWG,aruban guilder,30/09/2025,49.509,49.6145,ferates_vs
34,AFN,the afghanistan afghani,30/09/2025,1.3162,1.319,ferates_vs
35,BSD,bahamian dollar,30/09/2025,88.6211,88.8099,ferates_vs
36,BDT,bangladesh taka,30/09/2025,0.7252,0.7328,ferates_vs
37,BBD,barbadian dollar,30/09/2025,44.5332,44.6282,ferates_vs
38,BHD,bahraini dinar,30/09/2025,235.0691,235.5702,ferates_vs
39,BZD,belize dollar,30/09/2025,44.3105,44.405,ferates_vs
40,BMD,bermudian dollar,30/09/2025,88.6211,88.8099,ferates_vs
41,XOF,cfa franc bceao,30/09/2025,0.158,0.1591,ferates_vs
42,BGN,bulgarian lev,30/09/2025,53.0006,53.3904,ferates_vs
43,BOB,bolivian boliviano,30/09/2025,12.7329,12.9461,ferates_vs
44,BAM,convertible mark,30/09/2025,53.0006,53.3904,ferates_vs
45,BWP,botswana pula,30/09/2025,6.1592,7.1758,ferates_vs
46,BRL,brazilian real,30/09/2025,16.5728,16.7442,ferates_vs
