,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,148.4561,149.611,ferates_vs
1,EUR,euro,30/09/2025,173.649,175.9126,ferates_vs
2,RUB,russian ruble,30/09/2025,1.7757,1.8101,ferates_vs
3,GBP,british pound,30/09/2025,198.5897,201.3764,ferates_vs
4,CHF,swiss franc,30/09/2025,185.7794,188.3558,ferates_vs
5,PLN,polish zloty,30/09/2025,40.5907,41.2196,ferates_vs
6,UAH,ukrainian hryvnia,30/09/2025,3.5791,3.607,ferates_vs
7,CAD,canadian dollar,30/09/2025,106.4279,107.6338,ferates_vs
8,AUD,australian dollar,30/09/2025,97.1201,98.4888,ferates_vs
9,GEL,georgian lari,30/09/2025,54.1612,55.8042,ferates_vs
10,MDL,moldovan leu,30/09/2025,8.927,8.9964,ferates_vs
11,CNY,chinese yuan,30/09/2025,20.8397,21.0123,ferates_vs
12,DKK,danish krone,30/09/2025,23.2479,23.563,ferates_vs
13,NOK,norwegian krone,30/09/2025,14.8216,15.0655,ferates_vs
14,SEK,swedish krona,30/09/2025,15.7077,15.971,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,49.0812,49.463,ferates_vs
16,CZK,czech koruna,30/09/2025,7.1345,7.2457,ferates_vs
17,ISK,iceland krona,30/09/2025,1.2268,1.2383,ferates_vs
18,SKK,Slovak koruna,30/09/2025,5.7641,5.8392,ferates_vs
19,ILS,israeli shekel,30/09/2025,44.484,45.5353,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.2703,0.2729,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.4433,0.4502,ferates_vs
22,LVL,latvian lat,30/09/2025,247.0814,250.3007,ferates_vs
23,LTL,lithuanian lita,30/09/2025,50.2923,50.9478,ferates_vs
24,SGD,singapore dollar,30/09/2025,114.7533,116.0944,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,87.071,88.2662,ferates_vs
26,ALL,albanian lek,30/09/2025,1.791,1.8185,ferates_vs
27,DZD,algerian dinar,30/09/2025,1.1464,1.1554,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,55.2257,55.6553,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.1629,0.1641,ferates_vs
30,ARS,argentine peso,30/09/2025,0.1079,0.1116,ferates_vs
31,AMD,armenian dram,30/09/2025,0.3866,0.3927,ferates_vs
32,AWG,aruban guilder,30/09/2025,82.9363,83.5815,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,2.2049,2.222,ferates_vs
34,BSD,bahamian dollar,30/09/2025,148.4561,149.611,ferates_vs
35,BDT,bangladesh taka,30/09/2025,1.2148,1.2344,ferates_vs
36,BBD,barbadian dollar,30/09/2025,74.6011,75.1815,ferates_vs
37,BHD,bahraini dinar,30/09/2025,393.7827,396.8462,ferates_vs
38,BZD,belize dollar,30/09/2025,74.228,74.8055,ferates_vs
39,BMD,bermudian dollar,30/09/2025,148.4561,149.611,ferates_vs
40,XOF,cfa franc bceao,30/09/2025,0.2647,0.2681,ferates_vs
41,BGN,bulgarian lev,30/09/2025,88.7855,89.9425,ferates_vs
42,BOB,bolivian boliviano,30/09/2025,21.3299,21.8092,ferates_vs
43,BAM,convertible mark,30/09/2025,88.7855,89.9425,ferates_vs
44,BWP,botswana pula,30/09/2025,10.3177,12.0886,ferates_vs
45,BRL,brazilian real,30/09/2025,27.7623,28.2077,ferates_vs
46,BND,brunei dollar,30/09/2025,114.7533,116.0944,ferates_vs
47,BIF,burundi franc,30/09/2025,0.0508,0.0512,ferates_vs
48,VUV,vanuatu vatu,30/09/2025,1.2043,1.2882,ferates_vs
49,BTN,bhutanese ngultrum,30/09/2025,1.6716,1.6882,ferates_vs
50,VEF,venezuelan bolivar,30/09/2025,0.8358,0.8444,ferates_vs
51,VND,vietnam dong,30/09/2025,0.0056,0.0057,ferates_vs
52,XAF,cfa franc,30/09/2025,0.2647,0.2681,ferates_vs
53,HTG,haitian gourde,30/09/2025,1.1271,1.1358,ferates_vs
54,GYD,guyanese dollar,30/09/2025,0.7075,0.713,ferates_vs
55,GMD,gambian dalasi,30/09/2025,2.0638,2.0799,ferates_vs
56,GHS,ghanaian cedi,30/09/2025,11.9241,12.1143,ferates_vs
57,GTQ,guatemala quetzal,30/09/2025,19.3428,19.5443,ferates_vs
58,GNF,guinea franc,30/09/2025,0.0172,0.0174,ferates_vs
59,GIP,gibraltar pound,30/09/2025,198.5897,201.3764,ferates_vs
60,HNL,honduras lempira,30/09/2025,5.6842,5.7285,ferates_vs
61,HKD,hong kong dollar,30/09/2025,19.0701,19.2361,ferates_vs
62,DJF,djibouti franc,30/09/2025,0.836,0.8425,ferates_vs
63,DOP,dominican peso,30/09/2025,2.3705,2.4104,ferates_vs
64,EGP,egyptian pound,30/09/2025,3.0854,3.1182,ferates_vs
65,ZWL,zimbabwe dollar,30/09/2025,0.0022,0.0022,ferates_vs
66,MAD,moroccan dirham,30/09/2025,16.3799,16.5073,ferates_vs
67,INR,indian rupee,30/09/2025,1.6716,1.6882,ferates_vs
68,IDR,indonesian rupiah,30/09/2025,0.0089,0.009,ferates_vs
69,JOD,jordanian dinar,30/09/2025,209.0929,211.3151,ferates_vs
70,IQD,iraqi dinar,30/09/2025,0.1133,0.1142,ferates_vs
71,IRR,iran rial,30/09/2025,0.0036,0.0036,ferates_vs
72,YER,yemen riyal,30/09/2025,0.5926,0.5984,ferates_vs
73,CVE,cape verdsky escudos,30/09/2025,1.5748,1.5953,ferates_vs
74,KYD,cayman islands dollar,30/09/2025,178.1473,179.5332,ferates_vs
75,KHR,cambodian riel,30/09/2025,0.0371,0.0374,ferates_vs
76,QAR,qatar rial,30/09/2025,40.7231,41.0477,ferates_vs
77,KES,kenyan shilling,30/09/2025,1.1473,1.1598,ferates_vs
78,KGS,kyrgyzstani som,30/09/2025,1.6976,1.7108,ferates_vs
79,COP,colombian peso,30/09/2025,0.038,0.0383,ferates_vs
80,KMF,comorian franc,30/09/2025,0.353,0.3576,ferates_vs
81,CDF,congolese franc,30/09/2025,0.0566,0.057,ferates_vs
82,KRW,south korean won,30/09/2025,0.1061,0.107,ferates_vs
83,CRC,costa rica colon,30/09/2025,0.2932,0.2992,ferates_vs
84,KWD,kuwaiti dinar,30/09/2025,485.7215,489.982,ferates_vs
85,LAK,lao kip,30/09/2025,0.0068,0.0069,ferates_vs
86,LSL,lesotsky loti,30/09/2025,8.5276,8.6741,ferates_vs
87,LRD,liberian dollar,30/09/2025,0.8248,0.8312,ferates_vs
88,LBP,lebanese pound,30/09/2025,0.0016,0.0016,ferates_vs
89,LYD,libyan dinar,30/09/2025,27.5015,27.7154,ferates_vs
90,MUR,mauritius rupee,30/09/2025,3.2329,3.2874,ferates_vs
91,MRO,mauritania ougulya,30/09/2025,0.3732,0.3761,ferates_vs
92,MGA,malagasy ariary,30/09/2025,0.0333,0.0335,ferates_vs
93,MOP,makaosskaya patacas,30/09/2025,18.5025,18.6833,ferates_vs
94,MKD,macedonian denar,30/09/2025,2.821,2.8429,ferates_vs
95,MWK,malawian kwacha,30/09/2025,0.0848,0.0871,ferates_vs
96,MYR,malaysian ringgit,30/09/2025,35.1667,35.592,ferates_vs
97,MVR,maldivian rufiyaa,30/09/2025,9.5778,9.7024,ferates_vs
98,MXN,mexican peso,30/09/2025,8.09,8.1804,ferates_vs
99,MZN,mozambican metical,30/09/2025,2.3463,2.3646,ferates_vs
100,MNT,mongolian tugrik,30/09/2025,0.0413,0.0416,ferates_vs
101,MMK,myanmar kyat,30/09/2025,0.0408,0.0411,ferates_vs
102,NAD,namibian dollar,30/09/2025,8.5276,8.6741,ferates_vs
103,NPR,nepalese rupee,30/09/2025,1.0448,1.0552,ferates_vs
104,NGN,nigerian naira,30/09/2025,0.1001,0.1008,ferates_vs
105,NIO,nicaragua cordoba,30/09/2025,4.0534,4.085,ferates_vs
106,NZD,new zealand dollar,30/09/2025,85.5554,86.8042,ferates_vs
107,XPF,pacific franc,30/09/2025,1.4552,1.4741,ferates_vs
108,AED,uae dirham,30/09/2025,40.4117,40.7448,ferates_vs
109,OMR,omani rial,30/09/2025,385.5597,388.6206,ferates_vs
110,PKR,pakistani rupee,30/09/2025,0.5273,0.5322,ferates_vs
111,PAB,panama balboa,30/09/2025,148.4561,149.611,ferates_vs
112,PGK,new guinean kina,30/09/2025,34.3527,35.7421,ferates_vs
113,PYG,paraguayan guarani,30/09/2025,0.0211,0.0212,ferates_vs
114,PEN,peruvian nuevo sol,30/09/2025,42.6574,43.0189,ferates_vs
115,RWF,rwanda franc,30/09/2025,0.1017,0.1037,ferates_vs
116,RON,romanian leu,30/09/2025,34.1695,34.6498,ferates_vs
117,SVC,salvadoran colon,30/09/2025,16.9664,17.0984,ferates_vs
118,WST,samoa tala,30/09/2025,51.9299,55.2513,ferates_vs
119,STD,good sao tome and principe,30/09/2025,0.0071,0.0072,ferates_vs
120,SAR,saudi arabian riyal,30/09/2025,39.5788,39.8951,ferates_vs
121,SZL,swaziland lilageni,30/09/2025,8.5276,8.6741,ferates_vs
122,SHP,saint helena pound,30/09/2025,198.5897,201.3764,ferates_vs
123,SCR,seychelles rupee,30/09/2025,10.197,10.2763,ferates_vs
124,RSD,serbian dinar,30/09/2025,1.484,1.4988,ferates_vs
125,SYP,syrian pound,30/09/2025,0.0227,0.0229,ferates_vs
126,SBD,solomon islands dollar,30/09/2025,17.5846,18.8435,ferates_vs
127,SOS,somali shilling,30/09/2025,0.2614,0.2635,ferates_vs
128,SDG,sudanese pound,30/09/2025,0.246,0.2497,ferates_vs
129,SRD,surinamese dollar,30/09/2025,3.9222,3.9949,ferates_vs
130,SLL,sierra leone leone,30/09/2025,0.0065,0.0066,ferates_vs
131,TJS,tajik somoni,30/09/2025,15.796,15.9189,ferates_vs
132,THB,thai baht,30/09/2025,4.5975,4.6507,ferates_vs
133,TWD,taiwan dollar,30/09/2025,4.8695,4.9122,ferates_vs
134,TZS,tanzanian shilling,30/09/2025,0.0598,0.0616,ferates_vs
135,TOP,tonga pa'ang,30/09/2025,60.34,63.7268,ferates_vs
136,TTD,trinidad and tobago dollar,30/09/2025,22.1385,22.3107,ferates_vs
137,TND,tunisian dinar,30/09/2025,50.8934,51.4657,ferates_vs
138,TMT,new manat,30/09/2025,42.5254,42.8562,ferates_vs
139,TRY,turkish lira,30/09/2025,3.567,3.6173,ferates_vs
140,UGX,ugandan shilling,30/09/2025,0.0426,0.0429,ferates_vs
141,UZS,uzbekistan sum,30/09/2025,0.0123,0.0124,ferates_vs
142,UYU,uruguayan peso,30/09/2025,3.7255,3.7545,ferates_vs
143,FJD,fijian dollar,30/09/2025,63.992,66.2852,ferates_vs
144,PHP,philippine peso,30/09/2025,2.5555,2.5768,ferates_vs
145,FKP,falkland islands,30/09/2025,198.5897,201.3764,ferates_vs
146,HRK,croatian kuna,30/09/2025,23.0472,23.3475,ferates_vs
147,CLP,chilean peso,30/09/2025,0.1538,0.1551,ferates_vs
148,LKR,sri lanka rupee,30/09/2025,0.4906,0.4946,ferates_vs
149,ERN,the eritrean nakfa,30/09/2025,9.8971,9.9741,ferates_vs
150,ETB,ethiopian birr,30/09/2025,1.0252,1.0343,ferates_vs
