,Currency,Name,Valid Date,Bid,Ask,Source
0,USD,U.S. dollar,30/09/2025,41.3599,41.6198,ferates_vs
1,EUR,euro,30/09/2025,48.3787,48.9366,ferates_vs
2,RUB,russian ruble,30/09/2025,0.4947,0.5036,ferates_vs
3,GBP,british pound,30/09/2025,55.3272,56.0203,ferates_vs
4,CHF,swiss franc,30/09/2025,51.7582,52.3981,ferates_vs
5,PLN,polish zloty,30/09/2025,11.3086,11.4668,ferates_vs
6,JPY,japanese yen,30/09/2025,0.2764,0.2804,ferates_vs
7,UAH,ukrainian hryvnia,30/09/2025,0.9971,1.0034,ferates_vs
8,CAD,canadian dollar,30/09/2025,29.6508,29.9423,ferates_vs
9,AUD,australian dollar,30/09/2025,27.0577,27.3983,ferates_vs
10,GEL,georgian lari,30/09/2025,15.0893,15.524,ferates_vs
11,MDL,moldovan leu,30/09/2025,2.4871,2.5027,ferates_vs
12,CNY,chinese yuan,30/09/2025,5.8059,5.8453,ferates_vs
13,DKK,danish krone,30/09/2025,6.4769,6.5549,ferates_vs
14,NOK,norwegian krone,30/09/2025,4.1293,4.191,ferates_vs
15,SEK,swedish krona,30/09/2025,4.3762,4.4429,ferates_vs
16,BYN,new belarusian ruble,30/09/2025,13.674,13.76,ferates_vs
17,CZK,czech koruna,30/09/2025,1.9877,2.0156,ferates_vs
18,ISK,iceland krona,30/09/2025,0.3418,0.3445,ferates_vs
19,SKK,Slovak koruna,30/09/2025,1.6059,1.6244,ferates_vs
20,ILS,israeli shekel,30/09/2025,12.3933,12.6673,ferates_vs
21,KZT,kazakhstan tenge,30/09/2025,0.0753,0.0759,ferates_vs
22,HUF,hungarian forint,30/09/2025,0.1235,0.1252,ferates_vs
23,LVL,latvian lat,30/09/2025,68.837,69.6304,ferates_vs
24,LTL,lithuanian lita,30/09/2025,14.0115,14.173,ferates_vs
25,SGD,singapore dollar,30/09/2025,31.9703,32.296,ferates_vs
26,AZN,azerbaijani manat,30/09/2025,24.258,24.5545,ferates_vs
27,ALL,albanian lek,30/09/2025,0.499,0.5059,ferates_vs
28,DZD,algerian dinar,30/09/2025,0.3194,0.3214,ferates_vs
29,XCD,east caribbean dollar,30/09/2025,15.3859,15.4826,ferates_vs
30,AOA,angolan kwanza,30/09/2025,0.0454,0.0457,ferates_vs
31,ARS,argentine peso,30/09/2025,0.0301,0.031,ferates_vs
32,AMD,armenian dram,30/09/2025,0.1077,0.1093,ferates_vs
33,AWG,aruban guilder,30/09/2025,23.1061,23.2513,ferates_vs
34,AFN,the afghanistan afghani,30/09/2025,0.6143,0.6181,ferates_vs
35,BSD,bahamian dollar,30/09/2025,41.3599,41.6198,ferates_vs
36,BDT,bangladesh taka,30/09/2025,0.3384,0.3434,ferates_vs
37,BBD,barbadian dollar,30/09/2025,20.7839,20.9145,ferates_vs
38,BHD,bahraini dinar,30/09/2025,109.708,110.3975,ferates_vs
39,BZD,belize dollar,30/09/2025,20.68,20.8099,ferates_vs
40,BMD,bermudian dollar,30/09/2025,41.3599,41.6198,ferates_vs
41,XOF,cfa franc bceao,30/09/2025,0.0737,0.0746,ferates_vs
42,BGN,bulgarian lev,30/09/2025,24.7357,25.0209,ferates_vs
43,BOB,bolivian boliviano,30/09/2025,5.9425,6.067,ferates_vs
44,BAM,convertible mark,30/09/2025,24.7357,25.0209,ferates_vs
45,BWP,botswana pula,30/09/2025,2.8745,3.3629,ferates_vs
46,BRL,brazilian real,30/09/2025,7.7346,7.847,ferates_vs
47,BND,brunei dollar,30/09/2025,31.9703,32.296,ferates_vs
48,BIF,burundi franc,30/09/2025,0.0141,0.0142,ferates_vs
49,VUV,vanuatu vatu,30/09/2025,0.3355,0.3583,ferates_vs
50,BTN,bhutanese ngultrum,30/09/2025,0.4657,0.4696,ferates_vs
51,VEF,venezuelan bolivar,30/09/2025,0.2329,0.2349,ferates_vs
52,VND,vietnam dong,30/09/2025,0.0016,0.0016,ferates_vs
53,XAF,cfa franc,30/09/2025,0.0737,0.0746,ferates_vs
54,HTG,haitian gourde,30/09/2025,0.314,0.316,ferates_vs
55,GYD,guyanese dollar,30/09/2025,0.1971,0.1984,ferates_vs
56,GMD,gambian dalasi,30/09/2025,0.575,0.5786,ferates_vs
57,GHS,ghanaian cedi,30/09/2025,3.3221,3.37,ferates_vs
58,GTQ,guatemala quetzal,30/09/2025,5.3889,5.437,ferates_vs
59,GNF,guinea franc,30/09/2025,0.0048,0.0048,ferates_vs
60,GIP,gibraltar pound,30/09/2025,55.3272,56.0203,ferates_vs
61,HNL,honduras lempira,30/09/2025,1.5836,1.5936,ferates_vs
62,HKD,hong kong dollar,30/09/2025,5.3129,5.3512,ferates_vs
63,DJF,djibouti franc,30/09/2025,0.2329,0.2344,ferates_vs
64,DOP,dominican peso,30/09/2025,0.6604,0.6705,ferates_vs
65,EGP,egyptian pound,30/09/2025,0.8596,0.8674,ferates_vs
66,ZWL,zimbabwe dollar,30/09/2025,0.0006,0.0006,ferates_vs
67,MAD,moroccan dirham,30/09/2025,4.5634,4.5921,ferates_vs
68,INR,indian rupee,30/09/2025,0.4657,0.4696,ferates_vs
69,IDR,indonesian rupiah,30/09/2025,0.0025,0.0025,ferates_vs
70,JOD,jordanian dinar,30/09/2025,58.2534,58.7851,ferates_vs
71,IQD,iraqi dinar,30/09/2025,0.0316,0.0318,ferates_vs
72,IRR,iran rial,30/09/2025,0.001,0.001,ferates_vs
73,YER,yemen riyal,30/09/2025,0.1651,0.1665,ferates_vs
74,CVE,cape verdsky escudos,30/09/2025,0.4387,0.4438,ferates_vs
75,KYD,cayman islands dollar,30/09/2025,49.6319,49.9438,ferates_vs
76,KHR,cambodian riel,30/09/2025,0.0103,0.0104,ferates_vs
77,QAR,qatar rial,30/09/2025,11.3455,11.4189,ferates_vs
78,KES,kenyan shilling,30/09/2025,0.3196,0.3226,ferates_vs
79,KGS,kyrgyzstani som,30/09/2025,0.473,0.4759,ferates_vs
80,COP,colombian peso,30/09/2025,0.0106,0.0107,ferates_vs
81,KMF,comorian franc,30/09/2025,0.0984,0.0995,ferates_vs
82,CDF,congolese franc,30/09/2025,0.0158,0.0159,ferates_vs
83,KRW,south korean won,30/09/2025,0.0296,0.0298,ferates_vs
84,CRC,costa rica colon,30/09/2025,0.0817,0.0832,ferates_vs
85,KWD,kuwaiti dinar,30/09/2025,135.3222,136.3067,ferates_vs
86,LAK,lao kip,30/09/2025,0.0019,0.0019,ferates_vs
87,LSL,lesotsky loti,30/09/2025,2.3758,2.413,ferates_vs
88,LRD,liberian dollar,30/09/2025,0.2298,0.2312,ferates_vs
89,LBP,lebanese pound,30/09/2025,0.0005,0.0005,ferates_vs
90,LYD,libyan dinar,30/09/2025,7.6619,7.7101,ferates_vs
91,MUR,mauritius rupee,30/09/2025,0.9007,0.9145,ferates_vs
92,MRO,mauritania ougulya,30/09/2025,0.104,0.1046,ferates_vs
93,MGA,malagasy ariary,30/09/2025,0.0093,0.0093,ferates_vs
94,MOP,makaosskaya patacas,30/09/2025,5.1548,5.1974,ferates_vs
95,MKD,macedonian denar,30/09/2025,0.7859,0.7909,ferates_vs
96,MWK,malawian kwacha,30/09/2025,0.0236,0.0242,ferates_vs
97,MYR,malaysian ringgit,30/09/2025,9.7975,9.9012,ferates_vs
98,MVR,maldivian rufiyaa,30/09/2025,2.6684,2.6991,ferates_vs
99,MXN,mexican peso,30/09/2025,2.2539,2.2757,ferates_vs
100,MZN,mozambican metical,30/09/2025,0.6537,0.6578,ferates_vs
101,MNT,mongolian tugrik,30/09/2025,0.0115,0.0116,ferates_vs
102,MMK,myanmar kyat,30/09/2025,0.0114,0.0114,ferates_vs
103,NAD,namibian dollar,30/09/2025,2.3758,2.413,ferates_vs
104,NPR,nepalese rupee,30/09/2025,0.2911,0.2935,ferates_vs
105,NGN,nigerian naira,30/09/2025,0.0279,0.0281,ferates_vs
106,NIO,nicaragua cordoba,30/09/2025,1.1293,1.1364,ferates_vs
107,NZD,new zealand dollar,30/09/2025,23.8358,24.1478,ferates_vs
108,XPF,pacific franc,30/09/2025,0.4054,0.4101,ferates_vs
109,AED,uae dirham,30/09/2025,11.2587,11.3347,ferates_vs
110,OMR,omani rial,30/09/2025,107.4171,108.1092,ferates_vs
111,PKR,pakistani rupee,30/09/2025,0.1469,0.148,ferates_vs
112,PAB,panama balboa,30/09/2025,41.3599,41.6198,ferates_vs
113,PGK,new guinean kina,30/09/2025,9.5707,9.943,ferates_vs
114,PYG,paraguayan guarani,30/09/2025,0.0059,0.0059,ferates_vs
115,PEN,peruvian nuevo sol,30/09/2025,11.8844,11.9673,ferates_vs
116,RWF,rwanda franc,30/09/2025,0.0283,0.0288,ferates_vs
117,RON,romanian leu,30/09/2025,9.5196,9.6391,ferates_vs
118,SVC,salvadoran colon,30/09/2025,4.7269,4.7566,ferates_vs
119,WST,samoa tala,30/09/2025,14.4677,15.3702,ferates_vs
120,STD,good sao tome and principe,30/09/2025,0.002,0.002,ferates_vs
121,SAR,saudi arabian riyal,30/09/2025,11.0267,11.0983,ferates_vs
122,SZL,swaziland lilageni,30/09/2025,2.3758,2.413,ferates_vs
123,SHP,saint helena pound,30/09/2025,55.3272,56.0203,ferates_vs
124,SCR,seychelles rupee,30/09/2025,2.8409,2.8587,ferates_vs
125,RSD,serbian dinar,30/09/2025,0.4134,0.4169,ferates_vs
126,SYP,syrian pound,30/09/2025,0.0063,0.0064,ferates_vs
127,SBD,solomon islands dollar,30/09/2025,4.8991,5.242,ferates_vs
128,SOS,somali shilling,30/09/2025,0.0728,0.0733,ferates_vs
129,SDG,sudanese pound,30/09/2025,0.0685,0.0695,ferates_vs
130,SRD,surinamese dollar,30/09/2025,1.0927,1.1113,ferates_vs
131,SLL,sierra leone leone,30/09/2025,0.0018,0.0018,ferates_vs
132,TJS,tajik somoni,30/09/2025,4.4008,4.4284,ferates_vs
133,THB,thai baht,30/09/2025,1.2809,1.2938,ferates_vs
134,TWD,taiwan dollar,30/09/2025,1.3566,1.3665,ferates_vs
