,Currency,Name,Valid Date,Bid,Ask,Source
0,EUR,euro,30/09/2025,1.1697,1.1758,ferates_vs
1,RUB,russian ruble,30/09/2025,0.012,0.0121,ferates_vs
2,GBP,british pound,30/09/2025,1.3377,1.346,ferates_vs
3,CHF,swiss franc,30/09/2025,1.2514,1.259,ferates_vs
4,PLN,polish zloty,30/09/2025,0.2734,0.2755,ferates_vs
5,JPY,japanese yen,30/09/2025,0.0067,0.0067,ferates_vs
6,UAH,ukrainian hryvnia,30/09/2025,0.0241,0.0241,ferates_vs
7,CAD,canadian dollar,30/09/2025,0.7169,0.7194,ferates_vs
8,AUD,australian dollar,30/09/2025,0.6542,0.6583,ferates_vs
9,GEL,georgian lari,30/09/2025,0.3648,0.373,ferates_vs
10,MDL,moldovan leu,30/09/2025,0.0601,0.0601,ferates_vs
11,CNY,chinese yuan,30/09/2025,0.1404,0.1404,ferates_vs
12,DKK,danish krone,30/09/2025,0.1566,0.1575,ferates_vs
13,NOK,norwegian krone,30/09/2025,0.0998,0.1007,ferates_vs
14,SEK,swedish krona,30/09/2025,0.1058,0.1068,ferates_vs
15,BYN,new belarusian ruble,30/09/2025,0.3306,0.3306,ferates_vs
16,CZK,czech koruna,30/09/2025,0.0481,0.0484,ferates_vs
17,ISK,iceland krona,30/09/2025,0.0083,0.0083,ferates_vs
18,SKK,Slovak koruna,30/09/2025,0.0388,0.039,ferates_vs
19,ILS,israeli shekel,30/09/2025,0.2996,0.3044,ferates_vs
20,KZT,kazakhstan tenge,30/09/2025,0.0018,0.0018,ferates_vs
21,HUF,hungarian forint,30/09/2025,0.003,0.003,ferates_vs
22,LVL,latvian lat,30/09/2025,1.6643,1.673,ferates_vs
23,LTL,lithuanian lita,30/09/2025,0.3388,0.3405,ferates_vs
24,SGD,singapore dollar,30/09/2025,0.773,0.776,ferates_vs
25,AZN,azerbaijani manat,30/09/2025,0.5865,0.59,ferates_vs
26,ALL,albanian lek,30/09/2025,0.0121,0.0122,ferates_vs
27,DZD,algerian dinar,30/09/2025,0.0077,0.0077,ferates_vs
28,XCD,east caribbean dollar,30/09/2025,0.372,0.372,ferates_vs
29,AOA,angolan kwanza,30/09/2025,0.0011,0.0011,ferates_vs
30,ARS,argentine peso,30/09/2025,0.0007,0.0007,ferates_vs
31,AMD,armenian dram,30/09/2025,0.0026,0.0026,ferates_vs
32,AWG,aruban guilder,30/09/2025,0.5587,0.5587,ferates_vs
33,AFN,the afghanistan afghani,30/09/2025,0.0149,0.0149,ferates_vs
34,BSD,bahamian dollar,30/09/2025,1.0,1.0,ferates_vs
35,BDT,bangladesh taka,30/09/2025,0.0082,0.0083,ferates_vs
36,BBD,barbadian dollar,30/09/2025,0.5025,0.5025,ferates_vs
37,BHD,bahraini dinar,30/09/2025,2.6525,2.6525,ferates_vs
38,BZD,belize dollar,30/09/2025,0.5,0.5,ferates_vs
39,BMD,bermudian dollar,30/09/2025,1.0,1.0,ferates_vs
40,XOF,cfa franc bceao,30/09/2025,0.0018,0.0018,ferates_vs
41,BGN,bulgarian lev,30/09/2025,0.5981,0.6012,ferates_vs
42,BOB,bolivian boliviano,30/09/2025,0.1437,0.1458,ferates_vs
43,BAM,convertible mark,30/09/2025,0.5981,0.6012,ferates_vs
44,BWP,botswana pula,30/09/2025,0.0695,0.0808,ferates_vs
45,BRL,brazilian real,30/09/2025,0.187,0.1885,ferates_vs
46,BND,brunei dollar,30/09/2025,0.773,0.776,ferates_vs
47,BIF,burundi franc,30/09/2025,0.0003,0.0003,ferates_vs
48,VUV,vanuatu vatu,30/09/2025,0.0081,0.0086,ferates_vs
49,BTN,bhutanese ngultrum,30/09/2025,0.0113,0.0113,ferates_vs
50,VEF,venezuelan bolivar,30/09/2025,0.0056,0.0056,ferates_vs
51,XAF,cfa franc,30/09/2025,0.0018,0.0018,ferates_vs
52,HTG,haitian gourde,30/09/2025,0.0076,0.0076,ferates_vs
53,GYD,guyanese dollar,30/09/2025,0.0048,0.0048,ferates_vs
54,GMD,gambian dalasi,30/09/2025,0.0139,0.0139,ferates_vs
55,GHS,ghanaian cedi,30/09/2025,0.0803,0.081,ferates_vs
56,GTQ,guatemala quetzal,30/09/2025,0.1303,0.1306,ferates_vs
57,GNF,guinea franc,30/09/2025,0.0001,0.0001,ferates_vs
